TRIO0146	HG01629	HG01630	HG01628
TRIO0147	HG01633	HG01631	HG01632
TRIO0148	HG01667	HG01669	HG01668
TRIO0149	HG01671	HG01672	HG01670
TRIO0150	HG01674	HG01675	HG01673
TRIO0151	HG01677	HG01678	HG01676
TRIO0152	HG01681	HG01680	HG01679
TRIO0153	HG01683	HG01682	HG01684
TRIO0154	HG01687	HG01686	HG01685
TRIO0155	HG01696	HG01694	HG01695
TRIO0156	HG01698	HG01699	HG01697
TRIO0157	HG01701	HG01700	HG01702
TRIO0158	HG01703	HG01705	HG01704
TRIO0159	HG01706	HG01708	HG01707
TRIO0160	HG01711	HG01709	HG01710
TRIO0161	HG01748	HG01747	HG01746
TRIO0162	HG01755	HG01756	HG01757
TRIO0163	HG01763	HG01761	HG01762
TRIO0164	HG01772	HG01771	HG01770
TRIO0165	HG01774	HG01775	HG01773
TRIO0166	HG01778	HG01777	HG01776
TRIO0167	HG01780	HG01781	HG01779
TRIO0168	HG01782	HG01783	HG01784
TRIO0169	HG01881	HG01879	HG01880
TRIO0170	HG01884	HG01885	HG01956
TRIO0171	HG01887	HG02014	HG01886
TRIO0172	HG01888	HG01882	HG01883
TRIO0173	HG01891	HG01890	HG01889
TRIO0174	HG01895	HG01912	HG01894
TRIO0175	HG01897	HG02013	HG01896
TRIO0176	HG01898	HG01892	HG01893
TRIO0177	HG01916	HG01914	HG01915
TRIO0178	HG01919	HG01917	HG01918
TRIO0179	HG01922	HG01920	HG01921
TRIO0180	HG01925	HG01923	HG01924
TRIO0181	HG01928	HG01926	HG01927
TRIO0182	HG01934	HG01932	HG01933
TRIO0183	HG01937	HG01935	HG01936
TRIO0184	HG01940	HG01938	HG01939
TRIO0185	HG01943	HG01941	HG01942
TRIO0186	HG01946	HG01944	HG01945
TRIO0187	HG01949	HG01947	HG01948
TRIO0188	HG01952	HG01950	HG01951
TRIO0189	HG01955	HG01953	HG01954
TRIO0190	HG01959	HG01986	HG01958
TRIO0191	HG01960	HG01988	HG01989
TRIO0192	HG01969	HG01967	HG01968
TRIO0193	HG01972	HG01970	HG01971
TRIO0194	HG01975	HG01974	HG01973
TRIO0195	HG01978	HG01977	HG01976
TRIO0196	HG01981	HG01979	HG01980
TRIO0197	HG01984	HG01982	HG01983
TRIO0198	HG01987	HG01990	HG02012
TRIO0199	HG01993	HG01991	HG01992
TRIO0200	HG01998	HG02008	HG01997
TRIO0201	HG02004	HG02002	HG02003
TRIO0202	HG02011	HG02009	HG02010
TRIO0203	HG02015	HG02017	HG02016
TRIO0204	HG02018	HG02020	HG02019
TRIO0205	HG02024	HG02026	HG02025
TRIO0206	HG02027	HG02029	HG02028
TRIO0207	HG02030	HG02032	HG02031
TRIO0208	HG02055	HG02053	HG02054
TRIO0209	HG02056	HG02058	HG02057
TRIO0210	HG02059	HG02061	HG02060
TRIO0211	HG02068	HG02070	HG02069
TRIO0212	HG02071	HG02073	HG02072
TRIO0213	HG02074	HG02076	HG02075
TRIO0214	HG02077	HG02079	HG02078
TRIO0215	HG02080	HG02082	HG02081
TRIO0216	HG02083	HG02085	HG02084
TRIO0217	HG02091	HG02090	HG02089
TRIO0218	HG02106	HG02104	HG02105
TRIO0219	HG02120	HG02122	HG02121
TRIO0220	HG02126	HG02128	HG02127
TRIO0221	HG02129	HG02131	HG02130
